##;##
@MONITOR
Status;Event;Command;Issue;Start;Stop;Workload;Energy;Name
0;0x19be420;11f3;26080212886437416;26080212886437977;26080212886811536;1;0.00858021;-
0;0x1941230;11f4;26080212900306172;26080212900307710;26080212900310880;1;7.28339e-05;-
0;0x19415c0;11f0;26080212900357221;26080212900369468;26080212942870560;1;0.978933;kmeans_kernel_c
0;0x1852320;11f3;26080212942923705;26080212942924287;26080212943294132;1;0.0085079;-
0;0x18525a0;11f4;26080212956765963;26080212956767576;26080212956770763;1;7.33365e-05;-
0;0x1852820;11f0;26080212956816667;26080212956828654;26080212999750848;1;0.987378;kmeans_kernel_c
0;0x1852b60;11f3;26080212999934221;26080212999935182;26080213000318821;1;0.00882522;-
0;0x1967f20;11f4;26080213014080572;26080213014082124;26080213014085178;1;7.02769e-05;-
0;0x19683b0;11f0;26080213014135687;26080213014158684;26080213055886861;1;0.961189;kmeans_kernel_c
0;0x19686f0;11f3;26080213055941665;26080213055942228;26080213056322118;1;0.00875678;-
0;0x1863f40;11f4;26080213069681004;26080213069682671;26080213069685829;1;7.28174e-05;-
0;0x18641c0;11f0;26080213069734152;26080213069746297;26080213111286756;1;0.95754;kmeans_kernel_c
0;0x1864610;11f3;26080213111339676;26080213111340342;26080213111712263;1;0.00857309;-
0;0x1864890;11f4;26080213125128082;26080213125129818;26080213125132998;1;7.32748e-05;-
0;0x1864b10;11f0;26080213125179450;26080213125192614;26080213167215647;1;0.968007;kmeans_kernel_c
0;0x1931d40;11f3;26080213167270997;26080213167271570;26080213167642478;1;0.00854395;-
0;0x19320d0;11f4;26080213180929419;26080213180931132;26080213180934532;1;7.83426e-05;-
0;0x1932460;11f0;26080213180981955;26080213180994631;26080213223030492;1;0.968404;kmeans_kernel_c
0;0x19403d0;11f3;26080213223096815;26080213223097495;26080213223468645;1;0.00855387;-
0;0x1940650;11f4;26080213236671936;26080213236673571;26080213236676859;1;7.58012e-05;-
0;0x19408d0;11f0;26080213236723461;26080213236737265;26080213279871692;1;0.994114;kmeans_kernel_c
0;0x1940d20;11f3;26080213280059394;26080213280059923;26080213280432657;1;0.00859038;-
0;0x1940fa0;11f4;26080213294199554;26080213294201401;26080213294204545;1;7.24824e-05;-
0;0x1966fd0;11f0;26080213294253305;26080213294269453;26080213337182976;1;0.992679;kmeans_kernel_c
0;0x1967420;11f3;26080213337367943;26080213337368528;26080213337749870;1;0.00882898;-
0;0x19676a0;11f4;26080213351650395;26080213351652013;26080213351655106;1;7.16334e-05;-
